Type,Description,Case#,Location#,LocationName,Agency,DateMonth2015,DateDay,Hour,Minute,AMPM,Thour,long,lat,spec
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115009604,400,BLOCK N FARWELL ST,Eau Claire Police,5,23,11,59,PM,23,44.816635,-91.500563,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115009499,500,BLOCK WATER ST,Eau Claire Police,5,23,11,28,PM,23,44.802189,-91.509767,water
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115009632,200,BLOCK 8TH AV,Eau Claire Police,5,23,11,0,PM,23,44.802183,-91.515905,water
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115009574,3200,BLOCK ELDORADO BLVD,Eau Claire Police,5,23,10,18,PM,22,44.786547,-91.514604,
DISTURBANCE,,Eau Claire PD 0115009568,900,BLOCK RICHARD DR,Eau Claire Police,5,23,9,1,PM,21,44.79057,-91.508443,
SEX OFFENSE,OTHER FELONY ASSAULT,Eau Claire PD 0115009573,2000,BLOCK 3RD ST,Eau Claire Police,5,23,8,30,PM,20,44.819248,-91.513576,
ORD COMPLAINT,DISORDERLY CONDUCT,Eau Claire CSO 0215003122,5400,BLOCK OLSON DR,Eau Claire County Sheriff,5,23,8,20,PM,20,44.836202,-91.419424,
BURGLARY,OTHER UNLAWFUL,Eau Claire PD 0115009591,1700,BLOCK COOLIDGE CT,Eau Claire Police,5,23,6,0,PM,18,44.79742,-91.48924,
THEFT,SERVICES,Eau Claire PD 0115009561,400,BLOCK NIAGARA ST,Eau Claire Police,5,23,5,27,PM,17,44.804076,-91.507745,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115008934,400,BLOCK EAU CLAIRE ST,Eau Claire Police,5,23,5,1,PM,17,44.812755,-91.499309,library
THEFT,SERVICES,Eau Claire PD 0115009841,900,BLOCK RICHARD DR,Eau Claire Police,5,23,4,48,PM,16,44.79057,-91.508443,
DISTURBANCE,FIGHTING,Eau Claire PD 0115009557,3100,BLOCK ELDORADO BLVD,Eau Claire Police,5,23,4,41,PM,16,44.788042,-91.514953,
ANIMAL,BARKING DOG,Eau Claire PD 0115009551,600,BLOCK MAPLE ST,Eau Claire Police,5,23,3,43,PM,15,44.819899,-91.517972,
THEFT,GAS SKIP,Eau Claire PD 0115009566,1400,BLOCK BIRCH ST,Eau Claire Police,5,23,3,31,PM,15,44.820497,-91.488994,
THEFT,RETAIL,Eau Claire PD 0115009820,4700,BLOCK GOLF RD,Eau Claire Police,5,23,3,0,PM,15,44.771715,-91.445768,
FRAUD,IDENTITY THEFT,Eau Claire PD 0115009547,2800,BLOCK KELLEY PL,Eau Claire Police,5,23,2,56,PM,14,44.789305,-91.502163,
THEFT,RETAIL,Eau Claire PD 0115009544,4700,BLOCK GOLF RD,Eau Claire Police,5,23,2,49,PM,14,44.771715,-91.445768,
DISTURBANCE,ALL OTHER,Eau Claire PD 0115009543,900,BLOCK BARLAND ST,Eau Claire Police,5,23,2,38,PM,14,44.811568,-91.49094,
DISTURBANCE,,Eau Claire PD 0115009539,2600,BLOCK SHADY GROVE RD,Eau Claire Police,5,23,2,4,PM,14,44.833488,-91.473423,
ANIMAL,BARKING DOG,Eau Claire PD 0115009537,3200,BLOCK LOCUST LA,Eau Claire Police,5,23,12,51,PM,12,44.852473,-91.464385,
THEFT,OTHER FELONY,Eau Claire PD 0115010771,1700,BLOCK EMERY ST,Eau Claire Police,5,23,12,0,PM,12,44.810889,-91.477266,
BURGLARY,UNLAWFUL RESIDENTIAL,Eau Claire PD 0115009567,600,BLOCK CENTRE ST,Eau Claire Police,5,23,10,0,AM,10,44.820474,-91.49169,
DISTURBANCE,,Eau Claire PD 0115009524,1200,BLOCK 5TH AV,Eau Claire Police,5,23,9,15,AM,9,44.811519,-91.510107,
TRAFFIC,OMV WHILE INTOXICATED,Eau Claire PD 0115009520,2900,BLOCK CRAIG RD,Eau Claire Police,5,23,8,48,AM,8,44.789096,-91.519003,
THEFT,FROM COIN OPERATED MACHINE,Eau Claire PD 0115009646,2200,BLOCK FOLSOM ST,Eau Claire Police,5,23,8,0,AM,8,44.828742,-91.539364,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115009517,600,BLOCK BIRCH ST,Eau Claire Police,5,23,7,29,AM,7,44.820436,-91.499267,
ANIMAL,BARKING DOG,Eau Claire PD 0115009513,500,BLOCK ERIN ST,Eau Claire Police,5,23,4,25,AM,4,44.818251,-91.49802,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115009500,3800,BLOCK BOARDWALK ST,Eau Claire Police,5,22,11,26,PM,23,44.777453,-91.466961,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115009497,800,BLOCK MARKET ST,Eau Claire Police,5,22,11,8,PM,23,44.800479,-91.515957,
THEFT,RETAIL,Eau Claire PD 0115009496,100,BLOCK W MADISON ST,Eau Claire Police,5,22,10,58,PM,22,44.815649,-91.509359,
CRIM DAMAGE,OTHER PROPERTY,Eau Claire PD 0115009495,500,BLOCK DODGE ST,Eau Claire Police,5,22,10,30,PM,22,44.811372,-91.49376,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115009494,800,BLOCK NIAGARA ST,Eau Claire Police,5,22,9,59,PM,21,44.804123,-91.515951,
DISTURBANCE,,Eau Claire CSO 0215003096,2900,BLOCK BLAKELEY AV,Eau Claire County Sheriff,5,22,8,50,PM,20,44.789209,-91.465768,
